a72,a73,a4,a24,a8,a63,a1,a82,a6,a7,a62,a2,Result
0,0,0,1,1,1,1,0,1,1,1,1,1250
0,0,0,1,1,1,1,1,0,0,0,0,670
0,0,0,1,1,1,1,1,0,0,0,1,1170
0,0,0,1,1,1,1,1,0,0,1,0,700
0,0,0,1,1,1,1,1,0,0,1,1,1200
0,0,0,1,1,1,1,1,0,1,0,0,710
0,0,0,1,1,1,1,1,0,1,0,1,1210
0,0,0,1,1,1,1,1,0,1,1,0,740
0,0,0,1,1,1,1,1,0,1,1,1,1240
0,0,0,1,1,1,1,1,1,0,0,0,700
0,0,0,1,1,1,1,1,1,0,0,1,1200
0,0,0,1,1,1,1,1,1,0,1,0,730
0,0,0,1,1,1,1,1,1,0,1,1,1230
0,0,0,1,1,1,1,1,1,1,0,0,740
0,0,0,1,1,1,1,1,1,1,0,1,1240
0,0,0,1,1,1,1,1,1,1,1,0,770
0,0,0,1,1,1,1,1,1,1,1,1,1270
0,0,1,0,0,0,0,0,0,0,0,0,50
0,0,1,0,0,0,0,0,0,0,0,1,550
0,0,1,0,0,0,0,0,0,0,1,0,80
0,0,1,0,0,0,0,0,0,0,1,1,580
0,0,1,0,0,0,0,0,0,1,0,0,90
0,0,1,0,0,0,0,0,0,1,0,1,590
0,0,1,0,0,0,0,0,0,1,1,0,120
0,0,1,0,0,0,0,0,0,1,1,1,620
0,0,1,0,0,0,0,0,1,0,0,0,80
0,0,1,0,0,0,0,0,1,0,0,1,580
0,0,1,0,0,0,0,0,1,0,1,0,110
